country	percentGovSpending
AFG	26
ALB	4.4
DZA	12.1
AGO	12.2
ARG	2
ARM	15.8
AUS	4.4
AUT	1.5
AZE	11.5
BHR	12.2
BGD	8.4
BLR	3.3
BEL	1.9
BLZ	3.8
BEN	4.7
BOL	4.2
BIH	2.3
BWA	5.8
BRA	3.5
BRN	6.7
BGR	4.2
BFA	5.1
BDI	7.5
KHM	8
CMR	6.3
CAN	2.5
CPV	1.5
CHL	8.2
CHN	8.3
COL	11.9
COD	6.7
CRI	0
HRV	3.8
CZE	2.5
DNK	2.4
DOM	3.4
ECU	7.3
EGY	4.7
SLV	4.8
EST	4.5
ETH	4.7
FJI	4.4
FIN	2.2
FRA	3.9
GAB	4.4
GEO	9.3
DEU	3
GHA	2
GRC	5.2
GTM	3.3
GUY	3.4
HTI	0
HND	4.2
HUN	1.9
IND	9
IDN	4.4
IRQ	7.7
IRL	1.3
ISR	13.6
ITA	3.1
JAM	2.9
JPN	2.4
JOR	10
KAZ	6.1
KEN	6
KOR	12.8
KWT	7.8
KGZ	8.7
LVA	2.6
LBN	13.4
LSO	3.3
LBR	2
LTU	2.2
LUX	1.2
MKD	3.7
MDG	3.2
MWI	3.5
MYS	5.2
MLI	5.6
MLT	1.4
MRT	9.3
MUS	0.8
MEX	2.3
MDA	0.8
MNE	3.7
MMR	13.5
NAM	9.7
NPL	9.4
NLD	2.6
NZL	2.9
NIC	2.6
NGA	3.2
NOR	3.2
OMN	27.4
PAK	16.2
PAN	0
PNG	1.6
PRY	6.7
PER	6.7
PHL	6.8
POL	4.3
PRT	4.5
ROU	3.7
RUS	11.2
RWA	4.1
SAU	25.2
SEN	5.3
SRB	4.5
SYC	2.8
SLE	3.8
SGP	20.5
SVK	2.7
SVN	2.4
ZAF	3.6
ESP	2.1
LKA	14.2
SWZ	8.6
SWE	2.2
CHE	2.4
TWN	11
TZA	4.6
THA	6.3
TLS	2
TUR	6.1
UGA	12.1
GBR	5.2
UKR	6
URY	5.3
USA	10
VEN	3.7
VNM	8.1
ZMB	5.9
ZWE	9